Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
touchdown	/'tʌtʃdaun/	n. 触地, 触地得分, 着地	n. a score in American football; being in possession of the ball across the opponents' goal line	9	2	[S03E09] To score the winning touchdown, by the way. ◆ [S03E24] Yeah, maybe it’s like y'know, that jock thing. Y'know how football players pat each other after touchdowns.	S03E09(8), S03E24(1)
toucher	/'tʌtʃә/	n. 触摸者	n. a person who causes or allows a part of the body to come in contact with someone or something	1	1	[S07E23] No. Nope, I uh…I th—I thought it might be kind of a cool character thing. Y’know? He’s uh, he’s a face toucher.	S07E23(1)
touchet		[地名] [美国] 图谢特		2	1	[S03E15] Touchet, touchet, Miss Americccan pie.  Ameri-ccan.	S03E15(2)
touchy	/'tʌtʃi/	a. 易怒的, 难以取悦的, 过于敏感的	s quick to take offense	3	3	[S04E04] On the touchy. ◆ [S04E11] Umm,  I love this touchy. Can I take it to work with me? ◆ [S09E03] Does he say that before he sticks his thermometer in your touchy?	S04E04(1), S04E11(1), S09E03(1)
tough	/tʌf/	n. 恶棍	a. not given to gentleness or sentimentality	56	47	[S01E13] That's tough. Tough stuff. C'mon, Pheebs, we're gonna catch that movie, we gotta get going. ◆ [S01E18] : Ahhh, that's alright. Y'know, that's a tough hand to beat. ◆ [S01E24] Well, the tough thing is, she really wants to have sex with me. ◆ [S02E04] Maybe it, maybe it doesn't have to be this tough. I mean, maybe you were on the right track with this whole, you know, s ◆ [S02E07] I mean, especially considering how tough it's been for you to find work.	S01E13(2), S01E18(1), S01E24(2), S02E04(1), S02E07(1), S02E10(1), S02E17(1), S02E20(2), S02E24(1), S03E06(1), S03E11(1), S03E12(1), S03E16(1), S04E05(1), S04E06(1), S04E15(2), S04E16(1), S05E04(1), S05E06(1), S05E07(1), S05E09(2), S05E10(1), S05E12(1), S05E17(1), S06E07(2), S06E12(1), S06E21(1), S06E23(1), S07E03(1), S07E18(1), S08E06(2), S08E07(1), S08E11(1), S08E12(2), S08E17(1), S08E19(1), S08E20(1), S09E03(1), S09E06(1), S09E08(1), S09E14(1), S09E18(1), S09E22(2), S10E01(1), S10E12(1), S10E14(1), S10E15(1)
toughest		a. 最坚强的；最坚韧的；最粗暴的；最苛刻的（tough的最高级）	a not given to gentleness or sentimentality	2	2	[S03E04] Guess who's here. It's the toughest guy in toy land, Ben.  'A real American hero. I'm G.I. Joe!' Drop the Barbi, drop th ◆ [S04E15] I’m sorry. I’m sorry. You’re right, you are a tough guy. You’re the toughest palaeontologist I know.	S03E04(1), S04E15(1)
toughie	/'tʌfi/	n. 流氓, 恶棍, 生是非者, 难题, 劲敌	n an aggressive and violent young criminal	2	2	[S04E14] You want me to take some girl I’ve never met to the opera so you can go to a club and flirt with some guy, hmm, that-tha ◆ [S10E15] Oh, we go way back. Before Monica made an honest man out of him, Chandler used to be my little love muffin! . So? Are yo	S04E14(1), S10E15(1)
toulouse	/tu:'lu:z/	n. 图卢兹（法国南部城市）	n. a city on the Garonne River in southern France to the southeast of Bordeaux; a cultural center of	1	1	[S07E03] Nesele Toulouse.	S07E03(1)
tourist	/'tuәrist/	n. 观光客, 旅行者	n. someone who travels for pleasure	2	2	[S05E23] Well, I'm totally over it Chandler. Friends forever! Don't come out here! A Tourist:  Would you mind doing a picture wit ◆ [S10E13] Well, because we want to get to know her better and she's never been to New York so she wants to see all the tourists' s	S05E23(1), S10E13(1)
touristy	/'tuәristi/	a. 游览者的, 游览者喜欢的	s visited by throngs of tourists	1	1	[S01E19] Okay, it's his first time out, so he's probably gonna wanna do some of the touristy things. I'll go to Cats, you go to t	S01E19(1)
tournament	/'tә:nәmәnt/	n. 比赛, 竞赛, 锦标赛, 联赛	n. a sporting competition in which contestants play a series of games to decide the winner	4	4	[S02E22] Could you guys please try to keep it down, we're trying to start a Boggle tournament. ◆ [S03E17] Oh hey, hey, huh, how about this weekend we have a laser disc marathon okay, and maybe a tournament on my new dart board ◆ [S08E11] It’s the semi-finals…of her…botchy ball tournament. ◆ [S09E23-E0924] Yeah, well you should! I mean, nude pictures of Anna Kournikova? I mean, she's never even won a major tournament!	S02E22(1), S03E17(1), S08E11(1), S09E23-E0924(1)
tout	/taut/	vi. 招徕顾客, 兜售物品	n. someone who buys tickets to an event in order to resell them at a profit	1	1	[S10E13] Sure! Tout le plaisir est pour moi, mon ami.	S10E13(1)
tow	/tәu/	n. 拖, 拖绳, 拖轮	n. the act of hauling something (as a vehicle) by means of a hitch or rope	5	3	[S03E17] Listen Ross, we ran out of gas, and we don’t know where we are, so we can’t get a tow truck. ◆ [S08E02] Will the owner of a 1995 Buick LeSabre please see the front desk? Your car is about to be towed. ◆ [S09E18] They're towing your car, they're towing your car!!	S03E17(1), S08E02(1), S09E18(3)
toward	/tә'wɒ:d/	prep. 向, 对于, 为了	prep. Alt. of Towards	4	4	[S03E19] ...has become the penicillin of the twenty-first century. And so today, this hospital is about to take major steps towar ◆ [S05E17] All right, we were shaking hands and he kinda leaned toward me… Y'know maybe he was going to open the door, but I totall ◆ [S06E12] Fine. The reason that I was leaning a little bit more toward Rachel than you is just that you’re … just … kinda high mai ◆ [S08E22] Oh I know, I’ve been there. I remember toward the end…	S03E19(1), S05E17(1), S06E12(1), S08E22(1)
towel	/'tauәl/	n. 手巾, 毛巾	n. a rectangular piece of absorbent cloth (or paper) for drying or wiping	19	18	[S01E01] You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel. ◆ [S01E04] Oh, George, baby, drop the towel! ◆ [S02E02] Gimme the bottle.  Gimme the towel. ◆ [S02E09] I got some, uh, hers and hers towels for Susan and Carol. And, uh, I got this blouse for mom. ◆ [S03E02] You know what's weird. Donald Duck never wore pants. But whenever he's getting out of the shower, he always put a towel 	S01E01(1), S01E04(2), S02E02(1), S02E09(1), S03E02(1), S03E03(1), S03E12(1), S04E04(1), S04E08(1), S04E12(1), S06E02(1), S06E08(1), S06E18(1), S07-Outtakes(1), S08E03(1), S09E08(1), S10E10(1), S10E16(1)
tower	/'tauә/	n. 塔, 高楼, 堡垒	n. a structure taller than its diameter; can stand alone or be attached to a larger building	1	1	[S05E02] We got out pictures back from London.  Here's all of us at the Tower of London.	S05E02(1)
towner	/'taʊnər/	城镇居民	n. a resident of a town or city	1	1	[S07E09] No kidding, out of towners huh? What did you tell ‘em?	S07E09(1)
toy	/tɒi/	n. 玩具, 小玩艺儿, 小型的东西, 消遣	n. a nonfunctional replica of something else (frequently used as a modifier)	14	8	[S02E07] Oh, Monica, I figured I'd come by tomorrow morning and pick up Fluffy's old cat toy, OK? ◆ [S02E10] Don't toy with me. ◆ [S03E04] He picked it out of the toy store himself, he loves it. ◆ [S03E21] Okay, now when you come back I hope you remember that, that chick is not a toy! ◆ [S05E04] A Magic Eight ball?! You can't be serious, you can't make this decision with a toy!	S02E07(4), S02E10(1), S03E04(3), S03E21(1), S05E04(2), S06E05(1), S07E02(1), S08E22(1)
trace	/treis/	n. 痕迹, 踪迹, 微量, 迹线, 缰绳	n. a just detectable amount	1	1	[S06E10] … and that’s the story of the dreidle. Now, some people trace the Christmas tree back to the Egyptians, who used to brin	S06E10(1)
tracy	/'treisi/	n. 特蕾西（女子名）	n. United States film actor who appeared in many films with Katharine Hepburn (1900-1967)	1	1	[S01E22] I Think last night was great. You know, the Karaoke thing. Tracy and I doing Ebony and Ivory.	S01E22(1)
tradition	/trә'diʃәn/	n. 传说, 传统, 交付	n. an inherited pattern of thought or action	8	7	[S01E09] But my mom always makes them. It's like a tradition. You get a little piece of turkey on your fork, a little cranberry s ◆ [S04E23-uncut] Ohh, here comes my dad and stepmum. Mister and Misses Geller, this is Steven and Andrea Waltham. Mr. Waltham:  Hello. He ◆ [S05E08] It's a tradition, like the parade. If the parade decided it was gay, moved out, and abandoned its entire family. ◆ [S07-Outtakes] It’s a tradition here on Friends after every taping for me to hang out with you guys,  talk down the episode umm… The po ◆ [S07E22] Oh. {Transcriber’s Note: She puts the key into the ignition, which is on the left side of the steering wheel. Does anyon	S01E09(1), S04E23-uncut(1), S05E08(1), S07-Outtakes(1), S07E22(1), S08E08(2), S10E04(1)
traditionally		adv. 传统上；传说上；习惯上	r. according to tradition; in a traditional manner	1	1	[S09E02] That is right and traditionally the daddy is supposed to give the mummy a present but I am prepared to let that go.	S09E02(1)
tragedy	/'trædʒidi/	n. 悲剧, 惨案, 悲剧作品	n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror	3	3	[S03E04] What is the great tragedy here? You go get yourself another appointment. ◆ [S04E08] Because it’s Richard’s son! It’s like inviting Greek tragedy over for dinner! ◆ [S10E07] Look, I'm sorry to hear about your tragedy, ok? But the swings are perfectly safe, and besides Emma loves them. You know	S03E04(1), S04E08(1), S10E07(1)
tragic	/'trædʒik/	a. 悲惨的, 悲剧的	s. very sad; especially involving grief or death or destruction	4	3	[S05E09] Okay, umm, it's this tragic love story between Cathy and Heathcliff and umm, it takes place on like these really creepy  ◆ [S09E17] Alright look, let's think about this, ok, do you really think that people are gonna stir up your family at this tragic t ◆ [S10E06] Who's Gladys?  Oh! What a tragic loss!	S05E09(2), S09E17(1), S10E06(1)
tragically	/'trædʒɪklɪ/	adv. 悲剧地, 悲惨地	r. in a tragic manner; with tragic consequences	1	1	[S08E01] Find some! Please! Anything that doesn’t say I-I died tragically in France.	S08E01(1)
trail	/treil/	n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势	n. a track or mark left by something that has passed	5	1	[S03E16] All right, okay, now, we just have to make sure she doesn’t find out some other way.  Did you think about the trail?	S03E16(5)
train	/trein/	n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序	n. public transport provided by a line of railway cars coupled together and drawn by a locomotive	24	21	[S01E01] Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today. ◆ [S01E13] Look, I uh, I shouldn'ta come. I-I'd better get going, I don't wanna miss the last train. Mr. Tribbiani: I don't want yo ◆ [S01E15] OK.... um, a weird thing happened to me on the train this morning... ◆ [S02E03] Our trains are on the same track, ok? Yeah, sure, I'm coming up 30 years behind him, but the stops are all the same. Bit ◆ [S02E07] No, c'mon, we can't stop, c'mon, we've got three more pounds to go. I am the energy train and you are on board. Woo-woo,	S01E01(1), S01E13(1), S01E15(1), S02E03(1), S02E07(1), S02E12-E0213(1), S02E16(1), S02E18(1), S03E01(1), S03E03(1), S03E10(1), S03E24(1), S03E25(1), S04E10(4), S04E13(1), S04E22(1), S05E06(1), S06E01(1), S07E06(1), S09E20(1), S10E04(1)
trainer	/'treinә/	n. 训练员, 驯马师	n. one who trains other persons or animals	3	3	[S02E12-E0213] Hey Joey I have to cancel racketball for tonight, that was Marcel's trainer. He's gonna let me have him for a couple of  ◆ [S03E23] Okay, my trainer, Ho Chi, is teaching me a combination of Gee Koon Doe and Brazilian street fighting, I’ve even had my o ◆ [S03E24] Oh, believe me, I don’t want to get hurt either. I’m being smart about this. See these guys? They’re the best trainers i	S02E12-E0213(1), S03E23(1), S03E24(1)
traipse	/treips/	vi. 闲荡, 疲惫地走	v. walk or tramp about	1	1	[S06E19] You ask us to find you a guy and you come traipsing in here with your own!	S06E19(1)
tramp	/træmp/	n. 坚实(或沉重)的脚步声, 流浪者	n. a disreputable vagrant	3	2	[S07E07] Ugh, tramp! ◆ [S08E08] But I didn’t want to. Dr. Green: Well why not? So you can spend your time with this tramp?!	S07E07(1), S08E08(2)
trample	/'træmpl/	n. 践踏(声), 蹂躏	n. the sound of heavy treading or stomping	1	1	[S01E07] During a blackout? He'd get trampled!	S01E07(1)
trampoline	/'træmpә,li:n, -lin; ,træmpә'li:n/	n. 蹦床	n. gymnastic apparatus consisting of a strong canvas sheet attached with springs to a metal frame; u	2	2	[S02E21] Well why don't you just reach out and take his trampoline. ◆ [S05E14] That is a great idea! And! I know Ugly Naked Guy because we've been watching him for like five years so that gives me ba	S02E21(1), S05E14(1)
tranquiliser	/ˈtræŋkwəˌlaɪzə, ˈtræn-/	n. 镇静剂, 止痛药		1	1	[S01E19] Just a small tranquiliser.	S01E19(1)
tranquilizer	/'træŋkwilaizә/	[医] 安定药, 镇定药	n. a drug used to reduce stress or tension without reducing mental clarity	2	2	[S05E09] Uh-huh. Well, when the psychiatrist told me I had to take a leave of absence because I yelled at my boss I started to ge ◆ [S08E18] Somewhere there is someone with a tranquilizer gun and a huge butterfly net looking for that man.	S05E09(1), S08E18(1)
transaction	/træn'sækʃәn/	n. 交易, 办理, 学报, 和解协议	n. the act of transacting within or between groups (as carrying on commercial activities)	1	1	[S01E24] Well, not so good. She definitely thinks tonight is the night we're gonna... complete the transaction, if you know what 	S01E24(1)
transcriber	/træns'kraibә/	n. 抄写者, 誊写员, 抄录器, 信息转换器, 读数器	n. someone who rewrites in a different script	8	7	[S04E23-uncut] Uhh...Shall I go on? {Transcriber's Note: This is orginally where the season four cliffhanger was.  So you all have to w ◆ [S06E05] Oh! Hey, somebody left their keys.  Ooohh, to a Porsche! {Transcriber’s note: Oh come on! Who would leave the keys to th ◆ [S06E24] Oh my God! {Transcriber’s Note: For further reading on the above story, please check out The One Where Joey Moves Out.} ◆ [S07-Outtakes] The Stuff You’ve Never Seen Hosted by: Conan O’Brien This is a special out takes episode. The cast and Conan are sitting ◆ [S07E22] Oh. {Transcriber’s Note: She puts the key into the ignition, which is on the left side of the steering wheel. Does anyon	S04E23-uncut(1), S06E05(1), S06E24(2), S07-Outtakes(1), S07E22(1), S08E18(1), S09E08(1)
transit	/'trænsit/	n. 经过, 通行, 运输, 运输线, 转变	v. make a passage or journey from one place to another	2	1	[S02E06] Come on, pick up, pick up! Hello? Transit Authority? Yes, hello. I'm doing research for a book, and I was wondering what	S02E06(2)
transition	/træn'ziʃәn/	n. 转变, 转换, 变迁, 过渡时期, 临时转调	n. a change from one place or state or subject or stage to another	2	2	[S08E21] …also I was the point person on my company’s transition from the KL-5 to GR-6 system. ◆ [S09E06] So I don't go back to work for another four weeks, but we would like our nanny to start right away, so that Emma could g	S08E21(1), S09E06(1)
translate	/træns'leit/	vt. 翻译, 解释, 转化, 转变为, 调动	v. restate (words) from one language into another language	2	2	[S01E03] Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'. ◆ [S09E06] Wa... wa... wait! We can... call them later. Can you just... just stand there f-f-for a moment? Boy! There's an old Russ	S01E03(1), S09E06(1)
translation	/træns'leiʃәn/	n. 翻译, 译文, 转化, 调任, 平移, 转译	n. a written communication in a second language having the same meaning as the written communication	1	1	[S03E12] I thought I would, but the translation's no good.	S03E12(1)
translator	/træn'leitә/	n. 翻译者	n. a person who translates written messages from one language to another	3	1	[S03E15] Umm, well he’s very dashing, y'know, and umm, very, very sophisticated, and he doesn’t speak any English, but according 	S03E15(3)
translucent	/træns'lu:snt/	a. 半透明的, 透明的	s. allowing light to pass through diffusely	1	1	[S03E12] The Empty Vase. Translucent beauty...	S03E12(1)
transmission	/træns'miʃәn/	n. 传输, 传送, 变速器	n. the act of sending a message; causing a message to be transmitted	3	1	[S04E07] We broke down on the Parkway, so I have to walk back and get some transmission fluid. And hey, listen could you please t	S04E07(3)
